Название,Категория,Адрес,Телефон,Сайт/Соцсеть,Сеть/Бренд,Потенциал аналитики,Обоснование оценки,Широта,Долгота,Режим работы
22см,Кофейня/Кафе,"улица Солянка, 1/2",+7 926 4297222,http://pizza22cm.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7545511,37.6381215,Mo-Fr 12:00-23:00; Sa-Su 12:00-23:30
Грабли,Кофейня/Кафе,"улица Арбат, 1",+7 495 725-58-01,https://grabli.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7516816,37.5984535,"Fr-Sa 09:00-23:00; Mo-Th,Su 09:00-22:00"
Andy,Кофейня/Кафе,Адрес не указан (см. координаты),+7 999 8398977,http://andycoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.712657,37.723572,Mo-Fr 08:00-19:00; Sa 10:00-15:00
Флориста Бариста,Цветочный магазин,Адрес не указан (см. координаты),+7 905 7488000,https://florista-barista.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7310818,37.6094479,Mo-Su 08:00-22:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7908607,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8058206,37.5207424,Mo-Su 08:00-23:00
Онтроме,Кофейня/Кафе,Адрес не указан (см. координаты),+7 981 7000075,https://ontrome.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",59.9253235,30.3874959,Mo-Fr 09:00-21:00; Sa-Su 10:00-20:00
Maestrello,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6234411, +7 915 4882443",http://pinsamaestrello.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7124016,37.6205858,Mo-Su 11:00-23:00
Patisserie Francois Bodrero,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 1991998,http://bodrero.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7653472,37.6159588,
Paparino,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 2737121,http://www.paparino.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8382705,37.6330453,Mo-Su 11:00-23:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7909951,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7768544,37.585695,Mo-Su 08:00-23:00
J'pan,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 4808558,https://www.instagram.com/jpan.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7705165,37.6248249,"Mo-Th,Su 11:00-23:00; Fr-Sa 11:00-24:00"
Офицерское,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 909 6541448, +7 968 6475270",https://www.офицерское-кафе.рф,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7605476,37.6906241,Mo-Su 12:00-23:00
Хинкальный дом,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6895505, +7 968 4827272",https://hink38.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7901601,37.6137057,
Jinju,Кофейня/Кафе,"Зубовская улица, 29",+7 936 166 66 33,https://jinju.clients.site,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7372273,37.588279,"Mo-Fr 08:00-24:00, Sa,Su 09:00-24:00"
pausa caffe,Кофейня/Кафе,"улица Рогожский Вал, 5 с1",+7 915 0222724,https://www.pausa-caffe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7441388,37.6796826,10:00-21:00
True burgers,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 2228218,http://www.trueburgers.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6792307,37.6414063,Mo-Su 11:00-23:00
Грабли,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 0250204,https://grabli.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7537785,37.6378136,Mo-Su 08:00-23:00
Котофейня,Кофейня/Кафе,"улица Маросейка, 10/1",+7 495 1155238,http://www.catcoffeeshop.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7574643,37.6371619,Mo-Su 10:00-20:00
Брусника,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 9180871,http://brusnikacafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7771372,37.6070661,Mo-Su 08:00-23:00
Lifetime,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 3368128,https://www.instagram.com/p/B-PSvMdIocD/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7646002,37.6291461,
Point 242,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 2075732,https://point242.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7858551,37.6345984,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00"
Mr. croissant,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 7073549,http://www.mrcroissant.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6902659,37.6018173,Mo-Su 10:00-22:00
Mr. croissant,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 7073549,http://www.mrcroissant.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8094687,37.464571,Mo-Su 10:00-22:00
Mr. croissant,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 7073549,http://www.mrcroissant.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.884964,37.407196,Mo-Su 10:00-22:00
Mr. croissant,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 7073549,http://www.mrcroissant.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6187578,37.506938,Mo-Su 10:00-21:00
Mr. croissant,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 7073549,http://www.mrcroissant.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8060495,37.6374026,Mo-Fr 07:30-21:30; Sa-Su 09:00-22:00
Ku:,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 6090069,https://kuramen.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7739873,37.5864333,Mo-Su 11:00-24:00
Pho Ngon,Кофейня/Кафе,Кутузовский проезд,+7 925 641 96 28,ngon_moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7412898,37.5242999,Mo-Su 09:00-21:00
Гнездо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2121470,https://timeclub24.ru/gnezdo,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7601293,37.6510493,24/7
ABC coffee roasters,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2221036,http://www.abc-roasters.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.759009,37.6421616,"Mo-Fr 08:00-22:00; Sa, Su 10:00-22:00"
Granvillano,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 0732969,http://granvillano.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7541226,37.5999315,We-Sa 10:00-19:00; Su 10:00-18:00
Point,Кофейня/Кафе,Адрес не указан (см. координаты),+7 962 9884342,https://www.pointcoffeefood.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7801149,37.5999087,Mo-Fr 08:00-22:00; Sa-Su 10:00-22:00
Чихо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2956533,https://chiho.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7528577,37.6693887,Mo-Su 11:00-22:00
Пицца Паоло,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 5530040-79,http://pizzapaolo.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7597138,37.6597112,Mo-Su 10:00-23:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 623-71-85,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7534004,37.7532096,Mo-Su 08:00-23:00
Jeffrey's Coffee,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 3858711,http://jeffreyscoffee.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7658598,37.6162107,Mo-Th 08:30-23:00; Fr 08:30-06:00; Sa 10:00-06:00; Su 10:00-23:00
Мустафа Кебаб,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 098 04 39,https://mustafakebab.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7399849,37.6328627,Mo-Su 08:00-23:00
Чихо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2057813,https://chiho.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.781396,37.5826167,"Fr 11:00-00:00, Sa 12:00-00:00, Su 12:00-23:00; Mo-Th 11:00-23:00"
Буханка,Кондитерская,Адрес не указан (см. координаты),+7 969 0863023,https://buhanka.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.9289472,37.5404589,Mo-Su 08:00-22:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7920799,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7215228,37.6105668,Mo-Su 08:00-23:00
Mr. Croissant,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 7073549,http://www.mrcroissant.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7417712,37.655896,Mo-Su 10:00-22:00
Кофе Бюро,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7880608,https://coffeeburo.business.site/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7532864,37.633726,"Mo-Fr 08:00-22:00; Sa,Su 10:00-22:00"
Оджахури,Пекарня,Адрес не указан (см. координаты),+7 969 1010110,https://www.ojakhuri.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6838864,37.5502089,Mo-Su 09:00-21:00
Янух,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 5193014,https://yanhook.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.9945342,37.2079046,11:00-22:00
Lancheria,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 3519675,https://www.facebook.com/lancheriabybruno/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7520323,37.6701613,"Mo-Su 10:00-22:00; Fr,Sa 10:00-23:00"
101 Вкус,Кофейня/Кафе,Адрес не указан (см. координаты),+7 903 155-55-94,https://www.101vkus.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.3834297,37.4089529,24/7
Хинкали-Гали,Кофейня/Кафе,Адрес не указан (см. координаты),+7 917 544 9711,http://hinkaligali.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8815338,37.5455993,
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 1231018,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8094498,37.6380693,Mo-Su 08:00-23:00
Волшебная страна Ангария,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 9958500,https://angariakids.cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7602322,37.6249069,Mo-Su 10:00-22:00
Зефир,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 4906080,https://zefir.cafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.9906702,37.2366038,
ProCafe,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 1582470,http://www.cafe-pro.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8073997,37.4958417,
Циферблат,Кофейня/Кафе,Адрес не указан (см. координаты),+7 962 9646786,https://ziferblat.net/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7620423,37.6259837,24/7
Монтероссо,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7923230,http://monterossocafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7405345,37.6541884,
12 ярдов,Кофейня/Кафе,"улица Братьев Фонченко, 10 к1",+7 495 7378063,https://12yards.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7296283,37.5117506,Mo-Su 12:00-23:00
ABC coffee roasters,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2261022,https://www.facebook.com/think.abc.coffee/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7571549,37.6006034,Mo-Su 08:00-22:00
Pinzeria by Bontempi,Кофейня/Кафе,"Рождественский бульвар, 1",+7 495 2017660,https://pinzeria.ru/ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7667934,37.6242559,Mo-Su 10:00-23:00
Бургер & фрайс,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 6441701 ext. 19572,https://miratorg.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7420463,37.6163157,Mo-Su 10:00-22:00
Оазис,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 0710533,https://www.facebook.com/coffeehouseoasis/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.800096,37.7165526,"Mo-Fr 08:00-20:00; Sa,Su 10:00-20:00"
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 963 6763749,https://www.instagram.com/coffee_moose_universitet/?hl=ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.691526,37.538134,Mo-Fr 08:00-21:00;Sa-Su 09:00-21:00
Свежъ,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7860579, +7 916 5878324",https://svezh.cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7725173,37.651901,Mo-Fr 08:00-19:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7908599,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7686866,37.6792762,Mo-Su 08:00-23:00
Самаргало,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 444-45-55,https://www.instagram.com/cafe_samargalo/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7768163,37.6078903,Mo-Su 10:00-21:00
Пирапора,Кофейня/Кафе,Адрес не указан (см. координаты),+7 901 2586642,https://pirapora-rest.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7802424,37.6647049,Mo-Su 08:00-21:00
Гурмания,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1778044,http://gurmania.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8343266,37.4102953,Mo-Fr 08:30-18:00
Ku:,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 0321312,https://kuramen.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7477494,37.5345164,Mo-Fr 11:00-24:00; Sa-Su 11:00-23:00
Абу Гош,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2269202,http://abugosh.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7469342,37.5869812,Mo-Su 09:00-23:00
Syncope,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 6732245,https://syncopecoffee.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7842394,37.6611674,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00"
1554,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 2868499,https://vk.com/cafe1554,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7865874,37.5951414,Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00
Рамен Клаб,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 0485171,http://vk.com/ramen_club,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7301776,37.6253588,Mo-Su 11:00-21:00
Jam nail cafe,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 1993999, +7 909 9393339",https://www.instagram.com/jam.nail.cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7165429,37.616894,Mo-Su 10:00-22:00
Сэр Пуэр,Кофейня/Кафе,"переулок Маяковского, 3",+7 495 1034195,https://sirpuer.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7393447,37.6604102,Mo-Su 10:00-21:00
Mr. Croissant,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 7073549,http://www.mrcroissant.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.84024,37.492024,Mo-Fr 08:00-22:00;Sa-Su 09:00-22:00
Má Mì,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 0898887,http://mami.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7968387,37.5819297,24/7
Бургер&Фрайс,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6441701, +7 800 1008087",https://miratorg.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6642285,37.5988181,Fr-Su 10:00-22:00;Mo-Th 08:00-22:00
Филиппов экспресс,Пекарня,Адрес не указан (см. координаты),+7 495 4190924,https://hlebnasushny.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.747115,37.539078,Mo-Fr 07:00-21:00
Ёрш,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 5308265,https://www.ersh.su/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.778593,37.480301,"Mo-Su 00:00-06:00,12:00-24:00; Tu-Fr 12:00-24:00"
ПораПоПицце,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 1202282,https://2po2.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6538797,37.7577807,Mo-Su 12:00-24:00
Atelier de tartelettes,Пекарня,"Спиридоньевский переулок, 10А",+7 964 788 78 78,https://gt.life/atelier,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7627275,37.595758,Mo-Th 09:00-22:00; Fr-Su 09:00-23:00
Frank by Баста,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2281808,https://frankmeat.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7611943,37.6233713,"Su-Th 12:00-01:00, Fr,Sa 12:00-03:00"
Му-Му,Кофейня/Кафе,Адрес не указан (см. координаты),+7 499 6784038,https://www.cafemumu.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7798106,37.6019926,Mo-Su 09:00-23:00
Ra'men,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 985 2263333, +7 985 5508152",https://ramen.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7721777,37.6196055,"Fr-Sa 12:00-02:00; Mo-Th,Su 12:00-24:00"
Чайхана Сафо,Кофейня/Кафе,Адрес не указан (см. координаты),+79154000026,https://chaihanasafo.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.641498,37.6561136,24/7
Red Black Family,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 2847989,https://vk.com/rbfclub,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7620069,37.6489328,Mo-Su 10:00-22:00
Оджахури,Пекарня,Адрес не указан (см. координаты),+7 969 1140110,https://www.ojakhuri.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7799316,37.5933105,"Fr-Sa 10:00-02:00; Mo-Th,Su 10:00-22:00"
Tsomi,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 5003005,https://tsomi.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.780038,37.5933239,"Fr-Sa 10:00-02:00; Mo-Th,Su 10:00-23:00"
Mama Mia,Кофейня/Кафе,"Лесная улица, 30 с3",+7 967 225-48-91,https://mama-mia.wrf.su/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7803345,37.5928841,
Ku:,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 1824167,https://kuramen.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7801356,37.5923013,"Fr-Sa 10:00-02:00; Mo-Th,Su 10:00-23:00"
Burger Heroes,Кофейня/Кафе,"улица Грузинский Вал, 28",+7 985 2441904,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7745303,37.581638,Mo-Su 12:00-23:45
Скалка,Пекарня,Адрес не указан (см. координаты),"+7 495 7966449, +7 926 8270707",http://pirogi-skalka.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7372289,37.6938039,Mo-Su 08:00-22:00
Кафетериус,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 6416882,https://cafeterius.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7408225,37.5316948,Mo-Fr 08:00-19:30
33 пингвина,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 1005033,https://33pingvina.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.611114,37.606622,Mo-Su 10:00-22:00
33 пингвина,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 1005033,https://33pingvina.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8458284,37.6625007,Mo-Su 10:00-22:00
33 пингвина,Кофейня/Кафе,Адрес не указан (см. координаты),+7 800 1005033,https://33pingvina.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7037003,37.512635,Mo-Su 10:00-22:00
Кулинарная лавка братьев Караваевых,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 9682405,https://www.karavaevi.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.729353,37.6219216,Mo-Su 08:00-23:00
Kuzina,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 2307288,https://kuzina.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6885453,37.5474754,Mo-Su 08:00-21:00
Kuzina,Кофейня/Кафе,Адрес не указан (см. координаты),+7 495 7305854,https://kuzina.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.738007,37.4102928,Mo-Su 09:00-22:00
Зайкафе,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 3731515,https://zaycafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7796543,37.6038401,Mo-Su 10:00-22:00
Lao Lee,Кофейня/Кафе,"Столярный переулок, 3 к5",+7 965 1627877,https://laolee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7636472,37.5694277,Mo-Su 11:00-23:00
Conversation,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 3888518,https://friends-forever.ru/conversation-ostozhenka,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.738595,37.5958781,Mo-Su 08:00-23:00
