Название,Категория,Адрес,Телефон,Сайт/Соцсеть,Сеть/Бренд,Потенциал аналитики,Обоснование оценки,Широта,Долгота,Режим работы,Is_Mobile
Хинкальная,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 1342727,https://xinkalnaya1.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.769766,37.6573577,Mo-Su 10:00-22:00,True
22см,Кофейня/Кафе,"улица Солянка, 1/2",+7 926 4297222,http://pizza22cm.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7545511,37.6381215,Mo-Fr 12:00-23:00; Sa-Su 12:00-23:30,True
Andy,Кофейня/Кафе,Адрес не указан (см. координаты),+7 999 8398977,http://andycoffee.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.712657,37.723572,Mo-Fr 08:00-19:00; Sa 10:00-15:00,True
Онтроме,Кофейня/Кафе,Адрес не указан (см. координаты),+7 981 7000075,https://ontrome.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",59.9253235,30.3874959,Mo-Fr 09:00-21:00; Sa-Su 10:00-20:00,True
Paparino,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 2737121,http://www.paparino.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8382705,37.6330453,Mo-Su 11:00-23:00,True
J'pan,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 4808558,https://www.instagram.com/jpan.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7705165,37.6248249,"Mo-Th,Su 11:00-23:00; Fr-Sa 11:00-24:00",True
Офицерское,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 909 6541448, +7 968 6475270",https://www.офицерское-кафе.рф,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7605476,37.6906241,Mo-Su 12:00-23:00,True
Хинкальный дом,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 6895505, +7 968 4827272",https://hink38.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7901601,37.6137057,,True
Jinju,Кофейня/Кафе,"Зубовская улица, 29",+7 936 166 66 33,https://jinju.clients.site,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7372273,37.588279,"Mo-Fr 08:00-24:00, Sa,Su 09:00-24:00",True
pausa caffe,Кофейня/Кафе,"улица Рогожский Вал, 5 с1",+7 915 0222724,https://www.pausa-caffe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7441388,37.6796826,10:00-21:00,True
Lifetime,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 3368128,https://www.instagram.com/p/B-PSvMdIocD/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7646002,37.6291461,,True
Pho Ngon,Кофейня/Кафе,Кутузовский проезд,+7 925 641 96 28,ngon_moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7412898,37.5242999,Mo-Su 09:00-21:00,True
Granvillano,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 0732969,http://granvillano.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7541226,37.5999315,We-Sa 10:00-19:00; Su 10:00-18:00,True
Point,Кофейня/Кафе,Адрес не указан (см. координаты),+7 962 9884342,https://www.pointcoffeefood.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7801149,37.5999087,Mo-Fr 08:00-22:00; Sa-Su 10:00-22:00,True
Буханка,Кондитерская,Адрес не указан (см. координаты),+7 969 0863023,https://buhanka.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.9289472,37.5404589,Mo-Su 08:00-22:00,True
Оджахури,Пекарня,Адрес не указан (см. координаты),+7 969 1010110,https://www.ojakhuri.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6838864,37.5502089,Mo-Su 09:00-21:00,True
Lancheria,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 3519675,https://www.facebook.com/lancheriabybruno/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7520323,37.6701613,"Mo-Su 10:00-22:00; Fr,Sa 10:00-23:00",True
101 Вкус,Кофейня/Кафе,Адрес не указан (см. координаты),+7 903 155-55-94,https://www.101vkus.com,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.3834297,37.4089529,24/7,True
Хинкали-Гали,Кофейня/Кафе,Адрес не указан (см. координаты),+7 917 544 9711,http://hinkaligali.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8815338,37.5455993,,True
Циферблат,Кофейня/Кафе,Адрес не указан (см. координаты),+7 962 9646786,https://ziferblat.net/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7620423,37.6259837,24/7,True
Оазис,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 0710533,https://www.facebook.com/coffeehouseoasis/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.800096,37.7165526,"Mo-Fr 08:00-20:00; Sa,Su 10:00-20:00",True
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 963 6763749,https://www.instagram.com/coffee_moose_universitet/?hl=ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.691526,37.538134,Mo-Fr 08:00-21:00;Sa-Su 09:00-21:00,True
Свежъ,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 7860579, +7 916 5878324",https://svezh.cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7725173,37.651901,Mo-Fr 08:00-19:00,True
Самаргало,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 444-45-55,https://www.instagram.com/cafe_samargalo/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7768163,37.6078903,Mo-Su 10:00-21:00,True
Пирапора,Кофейня/Кафе,Адрес не указан (см. координаты),+7 901 2586642,https://pirapora-rest.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7802424,37.6647049,Mo-Su 08:00-21:00,True
Гурмания,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 1778044,http://gurmania.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8343266,37.4102953,Mo-Fr 08:30-18:00,True
1554,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 2868499,https://vk.com/cafe1554,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7865874,37.5951414,Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00,True
Jam nail cafe,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 1993999, +7 909 9393339",https://www.instagram.com/jam.nail.cafe/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7165429,37.616894,Mo-Su 10:00-22:00,True
Má Mì,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 0898887,http://mami.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7968387,37.5819297,24/7,True
Atelier de tartelettes,Пекарня,"Спиридоньевский переулок, 10А",+7 964 788 78 78,https://gt.life/atelier,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7627275,37.595758,Mo-Th 09:00-22:00; Fr-Su 09:00-23:00,True
Ra'men,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 985 2263333, +7 985 5508152",https://ramen.moscow,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7721777,37.6196055,"Fr-Sa 12:00-02:00; Mo-Th,Su 12:00-24:00",True
Чайхана Сафо,Кофейня/Кафе,Адрес не указан (см. координаты),+79154000026,https://chaihanasafo.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.641498,37.6561136,24/7,True
Red Black Family,Кофейня/Кафе,Адрес не указан (см. координаты),+7 967 2847989,https://vk.com/rbfclub,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7620069,37.6489328,Mo-Su 10:00-22:00,True
Оджахури,Пекарня,Адрес не указан (см. координаты),+7 969 1140110,https://www.ojakhuri.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7799316,37.5933105,"Fr-Sa 10:00-02:00; Mo-Th,Su 10:00-22:00",True
Tsomi,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 5003005,https://tsomi.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.780038,37.5933239,"Fr-Sa 10:00-02:00; Mo-Th,Su 10:00-23:00",True
Mama Mia,Кофейня/Кафе,"Лесная улица, 30 с3",+7 967 225-48-91,https://mama-mia.wrf.su/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7803345,37.5928841,,True
Ku:,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 1824167,https://kuramen.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7801356,37.5923013,"Fr-Sa 10:00-02:00; Mo-Th,Su 10:00-23:00",True
Burger Heroes,Кофейня/Кафе,"улица Грузинский Вал, 28",+7 985 2441904,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7745303,37.581638,Mo-Su 12:00-23:45,True
Скалка,Пекарня,Адрес не указан (см. координаты),"+7 495 7966449, +7 926 8270707",http://pirogi-skalka.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7372289,37.6938039,Mo-Su 08:00-22:00,True
Кафетериус,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 6416882,https://cafeterius.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7408225,37.5316948,Mo-Fr 08:00-19:30,True
Зайкафе,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 3731515,https://zaycafe.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7796543,37.6038401,Mo-Su 10:00-22:00,True
Conversation,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 3888518,https://friends-forever.ru/conversation-ostozhenka,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.738595,37.5958781,Mo-Su 08:00-23:00,True
Наши люди,Кофейня/Кафе,Адрес не указан (см. координаты),+7 903 5210307,https://alikepeople.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7295313,37.6323178,Mo-Su 09:00-23:00,True
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 4450656,https://www.instagram.com/coffeemoose_belorusskaya/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7741541,37.5805855,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00",True
Сыто Пьяно,Кофейня/Кафе,"Авиамоторная улица, 41Б",+7 901 7307764,https://sito-piano.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7534174,37.7165114,Mo-Su 11:00-06:00,True
Якитория,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 5100701,https://yakitoriya.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.4571404,37.2946417,Mo-Su 12:00-24:00,True
Гюмри,Кофейня/Кафе,Адрес не указан (см. координаты),+7 925 8326688,https://cafe-gyumri.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6141258,37.2622017,,True
Pizzamento,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 3804545,https://pizzamento.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6675432,37.528956,Mo-Su 10:00-21:00,True
Supernova,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 3564626,https://supernovapizza.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7729848,37.6103741,Mo-Su 12:00-23:00,True
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 905 5991636,https://www.instagram.com/coffeemoose_moskva/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.750216,37.817951,Mo-Fr 08:00-21:00;Sa-Su 09:00-21:00,True
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 1024517,https://www.instagram.com/coffeemoose_msk_op/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.793748,37.490299,Mo-Fr 07:30-21:00;Sa 09:00-20:00;Su 09:00-18:00,True
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 909 6569454,https://instagram.com/coffeemoose_yauza,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.787513,37.706766,Fr 09:00 -17:00;Mo-Th 09:00-17:00,True
smart_cafe,Кофейня/Кафе,"Спартаковская площадь, 16/15 с2",+7 916 1849222,https://smartcafe.site,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7761034,37.6790325,Mo-Fr 08:00-20:00; Sa-Su 09:00-19:00,True
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 4736464,https://www.instagram.com/coffee_moose_moskva/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.752683,37.818283,Mo-Fr 07:00-22:00;Sa 07:00-21:00;Su 08:00-21:00,True
Добродомик,Кофейня/Кафе,Адрес не указан (см. координаты),+7 921 9069066,https://dobrodomik.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.826997,37.4483196,Mo-Su 10:00-22:00,True
Мидийное место,Кофейня/Кафе,Адрес не указан (см. координаты),+7 964 3955555,https://www.midiynoe-mesto.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7827228,37.5998658,"Fr-Sa 12:00-24:00; Mo-Th,Su 11:00-23:00",True
Лейкин и закон,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 8830534,http://leykinzakon.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7561897,37.5512481,Mo-Su 11:00-23:00,True
Jeffreys coffeeshop,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 7374528,https://jeffreys.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.786313,37.542428,Mo-Su 08:30-21:00,True
Jeffreys coffeeshop,Кофейня/Кафе,Адрес не указан (см. координаты),+7 968 4018507,https://jeffreys.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.765695,37.609602,"Mo-Th 08:00-23:00; Fr 08:00-24:00; Sa 00:00-05:00,09:30-23:00; Su 09:30-23:00",True
Лепим и варим,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 4244022,https://lepimivarim.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7577277,37.6349974,24/7,True
Burger Heroes,Кофейня/Кафе,Адрес не указан (см. координаты),+7 963 6704562,https://burgerheroes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7661424,37.6400104,"Mo-Fr 12:00-24:00, Sa,Su 13:00-24:00",True
Свежий номер,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 3831707,https://www.instagram.com/svezhiynomer,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8404635,37.4939065,"Mo-Fr 08:00-22:00; Sa,Su 10:00-22:00",True
M2,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 3710422,https://instagram.com/m2organic.cafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7971933,37.5222909,Mo-Su 09:00-23:00,True
Jeffreys coffeeshop,Кофейня/Кафе,Адрес не указан (см. координаты),+7 98) 1487392,https://jeffreys.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6449181,37.5194463,08:00-23:00,True
Hachiko,Кофейня/Кафе,Адрес не указан (см. координаты),+7 991 7673534,https://hachikomoscow.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7415347,37.6287292,24/7,True
Panda Cafe&Club,Кофейня/Кафе,"Парковая улица, 2",+7 916 0244417,http://Instagram.com/panda_club_cafe,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.4797262,37.1499853,Su-Th 10:00-20:00; Fr-Sa 10:00-23:00,True
Хочу пышку,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 1753355,https://instagram.com/hochy.pishky,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.9668244,37.1870682,Mo-Sa 08:00-22:00; Su 09:00-22:00,True
Niqa,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 6265228,https://niqa.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7387591,37.5970655,Mo-Su 10:00-22:00,True
Без рецепта,Кофейня/Кафе,"Кутузовский проспект, 1/7",+7 925 5555073,http://www.bezrecepta.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.750044,37.5715658,Mo-Th 08:00-22:00; Fr 08:00-23:00; Sa 10:00-23:00; Su 10:00-22:00,True
Арго,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 7700399,http://cafezolotoeruno.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6358869,37.3421855,Mo-Su 12:00-03:00,True
Frank by Баста,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2281808, +7 926 1858781",https://frankmeat.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7354612,37.5880238,Mo-Su 12:00-23:00,True
Робэс,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 3334418,http://caferobes.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6529396,37.3957585,Mo-Su 12:00-23:00,True
Jeffreys coffeeshop,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 3399175,https://jeffreys.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.612499,37.6085401,09:00-23:00,True
Jeffreys coffeeshop,Кофейня/Кафе,Адрес не указан (см. координаты),+7 909 9581641,https://jeffreys.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7158267,37.6767433,Mo-Fr 08:00-22:00;Sa-Su 09:00-21:00,True
Jeffreys coffeeshop,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 2407348,https://jeffreys.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.5247138,37.5176615,10:00-22:00,True
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 2072607,https://www.instagram.com/coffee_moose_avtozavodskaya/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7081101,37.6551434,08:00-20:00,True
Кофе муз,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 9121001,https://www.instagram.com/coffee_moose_msk/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.546083,37.549184,08:00-21:00,True
Фарфор,Кофейня/Кафе,Адрес не указан (см. координаты),+7 903 2113366,https://farfor.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8547088,37.5256705,Fr 11:00-24:00;Mo-Th 11:00-23:00;Sa 12:00-24:00;Su 12:00-23:00,True
Kombinat,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 1146133,https://kombinat.me/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.720846,37.6003438,Mo-Su 11:00-16:00,True
Овсянки,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 0237370,https://www.instagram.com/ovsyanky/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7642516,37.568802,"Mo-Fr 08:00-20:00; Sa,Su 09:00-21:00",True
Белая обезьяна,Кофейня/Кафе,"улица Маршала Катукова, вл33",+7 968 859-55-00,https://white-monkey.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8032694,37.4222727,,True
Охотка,Кофейня/Кафе,Адрес не указан (см. координаты),+7 915 1174435,http://okhotka.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.757533,37.6366603,Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 12:00-24:00; Su 12:00-23:00,True
Хлебница,Пекарня,Адрес не указан (см. координаты),+7 926 3328169,https://hlebnitca.ru,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.8074475,37.5786908,Mo-Su 07:00-22:00,True
Levin bakehouse,Пекарня,Адрес не указан (см. координаты),+7 963 9607373,https://levinbh.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.875356,37.6022562,Mo-Su 09:00-22:00,True
Terrapieno,Кофейня/Кафе,Адрес не указан (см. координаты),+7 965 3359583,https://www.instagram.com/pizzaterrapieno/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7372959,37.640056,Mo-Fr 10:00-23:00; Sa-Su 11:00-23:00,True
Blau,Кофейня/Кафе,Адрес не указан (см. координаты),+7 985 3693980,https://www.instagram.com/blau.moscow/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7470136,37.6278718,Mo-Su 10:00-23:00,True
CofeFest,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 495 2121059, +7 968 0220208",https://cofefest.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7757431,37.6718025,Mo-Su 08:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 926 4861242,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7075844,37.4567217,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 916 0111393,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7388271,37.4118769,Mo-Su 09:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 966 0791126,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7782143,37.6020867,24/7,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 991 3106859,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.695783,37.4984488,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),+7 929 9931725,https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7067953,37.5932568,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 925 6151190, +7 926 8588582",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.6923274,37.5285834,Mo-Su 10:00-22:00,True
Cinnabon,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 925 6151190, +7 925 9253250",https://cinnabonrussia.com/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7770919,37.5234577,Mo-Su 10:00-22:00,True
Gorilla by Баста,Кофейня/Кафе,Адрес не указан (см. координаты),+7 910 0011112,https://gorillabybasta.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7616666,37.6328559,Mo-Su 11:30-24:00,True
Буфетрина,Кофейня/Кафе,Адрес не указан (см. координаты),"+7 903 1086901, +7 915 1079659",http://www.bufetrina.ru/,,HIGH,"Независимый бизнес с сайтом и телефоном (есть база контактов, высокая вероятность наличия CRM/POS-системы)",55.7528381,37.6675943,,True
